source_record_id,bill_billing_period_start_date,bill_billing_period_end_date,line_item_usage_start_date,line_item_usage_end_date,bill_payer_account_id,line_item_usage_account_id,account_name,product_product_name,line_item_usage_type,line_item_operation,product_region,line_item_resource_id,line_item_usage_amount,pricing_unit,pricing_public_on_demand_rate,pricing_public_on_demand_cost,line_item_unblended_rate,line_item_unblended_cost,line_item_line_item_type,pricing_term,currency,team,application,environment,cost_center,resource_tags,is_deliberate_anomaly,data_quality_scenario
aws-2026-04-01-111111111111-01-01,2026-04-01,2026-05-01,2026-04-01T00:00:00+00:00,2026-04-02T00:00:00+00:00,999999999999,111111111111,production-account,Amazon Elastic Compute Cloud - Compute,BoxUsage:m5.large,RunInstances,us-east-1,i-1111-01-01,1110.1162,Hrs,0.096,106.5712,0.084,93.2498,Usage,OnDemand,USD,,,,,{},False,untagged
aws-2026-04-01-111111111111-01-02,2026-04-01,2026-05-01,2026-04-01T00:00:00+00:00,2026-04-02T00:00:00+00:00,999999999999,111111111111,production-account,Amazon Elastic Compute Cloud - Compute,BoxUsage:m5.large,RunInstances,us-east-1,i-1111-01-02,1031.4063,Hrs,0.096,99.015,0.084,86.6381,Usage,OnDemand,USD,Payments,Checkout,production,CC-1001,"{""application"":""Checkout"",""cost_center"":""CC-1001"",""environment"":""production"",""team"":""Payments""}",False,valid
aws-2026-04-01-111111111111-02-01,2026-04-01,2026-05-01,2026-04-01T00:00:00+00:00,2026-04-02T00:00:00+00:00,999999999999,111111111111,production-account,Amazon Simple Storage Service,TimedStorage-ByteHrs,StandardStorage,us-east-1,bucket-1111-02-01,245.0669,GB-Mo,0.023,5.6365,0.0215,5.2689,Usage,OnDemand,USD,Payments,Checkout,production,CC-1001,"{""application"":""Checkout"",""cost_center"":""CC-1001"",""environment"":""production"",""team"":""Payments""}",False,valid
aws-2026-04-01-111111111111-02-02,2026-04-01,2026-05-01,2026-04-01T00:00:00+00:00,2026-04-02T00:00:00+00:00,999999999999,111111111111,production-account,Amazon Simple Storage Service,TimedStorage-ByteHrs,StandardStorage,us-east-1,bucket-1111-02-02,252.354,GB-Mo,0.023,5.8041,0.0215,5.4256,Usage,OnDemand,USD,Payments,Checkout,production,CC-1001,"{""application"":""Checkout"",""cost_center"":""CC-1001"",""environment"":""production"",""team"":""Payments""}",False,valid
aws-2026-04-01-111111111111-03-01,2026-04-01,2026-05-01,2026-04-01T00:00:00+00:00,2026-04-02T00:00:00+00:00,999999999999,111111111111,production-account,Amazon Relational Database Service,InstanceUsage:db.m5.large,CreateDBInstance,us-east-1,db-1111-03-01,212.627,Hrs,0.192,40.8244,0.17,36.1466,Usage,OnDemand,USD,,,,,{},False,untagged
aws-2026-04-01-111111111111-03-02,2026-04-01,2026-05-01,2026-04-01T00:00:00+00:00,2026-04-02T00:00:00+00:00,999999999999,111111111111,production-account,Amazon Relational Database Service,InstanceUsage:db.m5.large,CreateDBInstance,us-east-1,db-1111-03-02,203.8452,Hrs,0.192,39.1383,0.17,34.6537,Usage,OnDemand,USD,Payments,Checkout,production,CC-1001,"{""application"":""Checkout"",""cost_center"":""CC-1001"",""environment"":""production"",""team"":""Payments""}",False,valid
aws-2026-04-01-111111111111-04-01,2026-04-01,2026-05-01,2026-04-01T00:00:00+00:00,2026-04-02T00:00:00+00:00,999999999999,111111111111,production-account,AWS Lambda,Lambda-GB-Second,Invoke,us-east-1,function-1111-04-01,4073882.3727,GB-Seconds,1.66667e-05,67.8982,1.55e-05,63.1452,Usage,OnDemand,USD,Payments,Checkout,production,CC-1001,"{""application"":""Checkout"",""cost_center"":""CC-1001"",""environment"":""production"",""team"":""Payments""}",False,valid
aws-2026-04-01-111111111111-04-02,2026-04-01,2026-05-01,2026-04-01T00:00:00+00:00,2026-04-02T00:00:00+00:00,999999999999,111111111111,production-account,AWS Lambda,Lambda-GB-Second,Invoke,us-east-1,function-1111-04-02,4634895.994,GB-Seconds,1.66667e-05,77.2484,1.55e-05,71.8409,Usage,OnDemand,USD,Payments,Checkout,production,CC-1001,"{""application"":""Checkout"",""cost_center"":""CC-1001"",""environment"":""production"",""team"":""Payments""}",False,valid
aws-2026-04-01-111111111111-05-01,2026-04-01,2026-05-01,2026-04-01T00:00:00+00:00,2026-04-02T00:00:00+00:00,999999999999,111111111111,production-account,AmazonCloudWatch,DataProcessing-Bytes,PutLogEvents,us-east-1,log-group-1111-05-01,212.4198,GB,0.5,106.2099,0.46,97.7131,Usage,OnDemand,USD,Platform,Shared-Observability,production,CC-SHARED,"{""application"":""Shared-Observability"",""cost_center"":""CC-SHARED"",""environment"":""production"",""team"":""Platform""}",False,valid
aws-2026-04-01-111111111111-05-02,2026-04-01,2026-05-01,2026-04-01T00:00:00+00:00,2026-04-02T00:00:00+00:00,999999999999,111111111111,production-account,AmazonCloudWatch,DataProcessing-Bytes,PutLogEvents,us-east-1,log-group-1111-05-02,238.9244,GB,0.5,119.4622,0.46,109.9052,Usage,OnDemand,USD,,,,,{},False,untagged
aws-2026-04-01-222222222222-01-01,2026-04-01,2026-05-01,2026-04-01T00:00:00+00:00,2026-04-02T00:00:00+00:00,999999999999,222222222222,development-account,Amazon Elastic Compute Cloud - Compute,BoxUsage:m5.large,RunInstances,us-east-1,i-2222-01-01,445.6888,Hrs,0.096,42.7861,0.084,37.4379,Usage,OnDemand,USD,Data,Analytics,development,CC-2001,"{""application"":""Analytics"",""cost_center"":""CC-2001"",""environment"":""development"",""team"":""Data""}",False,valid
aws-2026-04-01-222222222222-01-02,2026-04-01,2026-05-01,2026-04-01T00:00:00+00:00,2026-04-02T00:00:00+00:00,999999999999,222222222222,development-account,Amazon Elastic Compute Cloud - Compute,BoxUsage:m5.large,RunInstances,us-east-1,i-2222-01-02,406.581,Hrs,0.096,39.0318,0.084,34.1528,Usage,OnDemand,USD,Data,Analytics,development,CC-2001,"{""application"":""Analytics"",""cost_center"":""CC-2001"",""environment"":""development"",""team"":""Data""}",False,valid
