source_record_id,billing_account_id,invoice_month,usage_start_time,usage_end_time,project_id,project_name,service_description,sku_description,resource_name,location,usage_amount,usage_unit,list_cost,cost,currency,currency_conversion_rate,credits,cost_type,labels,is_deliberate_anomaly,data_quality_scenario
gcp-2026-04-01-finops-prod-1001-01-01,000000-111111-222222,202604,2026-04-01T00:00:00+00:00,2026-04-02T00:00:00+00:00,finops-prod-1001,customer-platform-prod,Compute Engine,N2 Instance Core running in Americas,instance-1001-01-01,us-central1,1539.775,vCPU-hours,48.6738,43.8836,USD,1.0,"[{""amount"":-4.3884,""name"":""Committed Usage Discount"",""type"":""COMMITTED_USAGE_DISCOUNT""}]",regular,"{""application"":""storefront"",""cost_center"":""cc-3001"",""environment"":""production"",""team"":""commerce""}",False,valid
gcp-2026-04-01-finops-prod-1001-01-02,000000-111111-222222,202604,2026-04-01T00:00:00+00:00,2026-04-02T00:00:00+00:00,finops-prod-1001,customer-platform-prod,Compute Engine,N2 Instance Core running in Americas,instance-1001-01-02,us-central1,1537.2503,vCPU-hours,48.594,43.8116,USD,1.0,"[{""amount"":-4.3812,""name"":""Committed Usage Discount"",""type"":""COMMITTED_USAGE_DISCOUNT""}]",regular,"{""application"":""storefront"",""cost_center"":""cc-3001"",""environment"":""production"",""team"":""commerce""}",False,valid
gcp-2026-04-01-finops-prod-1001-02-01,000000-111111-222222,202604,2026-04-01T00:00:00+00:00,2026-04-02T00:00:00+00:00,finops-prod-1001,customer-platform-prod,BigQuery,Analysis in US,bq-job-1001-02-01,us-central1,11.6287,TiBy,72.6794,72.6794,USD,1.0,"[{""amount"":-3.634,""name"":""Promotion"",""type"":""PROMOTION""}]",regular,"{""application"":""storefront"",""cost_center"":""cc-3001"",""environment"":""production"",""team"":""commerce""}",False,valid
gcp-2026-04-01-finops-prod-1001-02-02,000000-111111-222222,202604,2026-04-01T00:00:00+00:00,2026-04-02T00:00:00+00:00,finops-prod-1001,customer-platform-prod,BigQuery,Analysis in US,bq-job-1001-02-02,us-central1,13.1552,TiBy,82.22,82.22,USD,1.0,"[{""amount"":-4.111,""name"":""Promotion"",""type"":""PROMOTION""}]",regular,"{""application"":""storefront"",""cost_center"":""cc-3001"",""environment"":""production"",""team"":""commerce""}",False,valid
gcp-2026-04-01-finops-prod-1001-03-01,000000-111111-222222,202604,2026-04-01T00:00:00+00:00,2026-04-02T00:00:00+00:00,finops-prod-1001,customer-platform-prod,Cloud Storage,Standard Storage US Multi-region,bucket-1001-03-01,us-central1,349.3329,GiBy-month,9.0827,8.384,USD,1.0,[],regular,"{""application"":""storefront"",""cost_center"":""cc-3001"",""environment"":""production"",""team"":""commerce""}",False,valid
gcp-2026-04-01-finops-prod-1001-03-02,000000-111111-222222,202604,2026-04-01T00:00:00+00:00,2026-04-02T00:00:00+00:00,finops-prod-1001,customer-platform-prod,Cloud Storage,Standard Storage US Multi-region,bucket-1001-03-02,us-central1,332.436,GiBy-month,8.6433,7.9785,USD,1.0,[],regular,"{""application"":""storefront"",""cost_center"":""cc-3001"",""environment"":""production"",""team"":""commerce""}",False,valid
gcp-2026-04-01-finops-prod-1001-04-01,000000-111111-222222,202604,2026-04-01T00:00:00+00:00,2026-04-02T00:00:00+00:00,finops-prod-1001,customer-platform-prod,Cloud SQL,Cloud SQL for PostgreSQL: Regional vCPU,cloudsql-1001-04-01,us-central1,387.694,vCPU-hours,32.0235,28.6894,USD,1.0,"[{""amount"":-2.2951,""name"":""Committed Usage Discount"",""type"":""COMMITTED_USAGE_DISCOUNT""}]",regular,"{""application"":""storefront"",""cost_center"":""cc-3001"",""environment"":""production"",""team"":""commerce""}",False,valid
gcp-2026-04-01-finops-prod-1001-04-02,000000-111111-222222,202604,2026-04-01T00:00:00+00:00,2026-04-02T00:00:00+00:00,finops-prod-1001,customer-platform-prod,Cloud SQL,Cloud SQL for PostgreSQL: Regional vCPU,cloudsql-1001-04-02,us-central1,418.3511,vCPU-hours,34.5558,30.958,USD,1.0,"[{""amount"":-2.4766,""name"":""Committed Usage Discount"",""type"":""COMMITTED_USAGE_DISCOUNT""}]",regular,"{""application"":""storefront"",""cost_center"":""cc-3001"",""environment"":""production"",""team"":""commerce""}",False,valid
gcp-2026-04-01-finops-prod-1001-05-01,000000-111111-222222,202604,2026-04-01T00:00:00+00:00,2026-04-02T00:00:00+00:00,finops-prod-1001,customer-platform-prod,Cloud Logging,Log Storage,log-sink-1001-05-01,us-central1,310.0294,GiBy,155.0147,142.6135,USD,1.0,[],regular,"{""application"":""shared-logging"",""cost_center"":""cc-shared"",""environment"":""production"",""team"":""platform""}",False,valid
gcp-2026-04-01-finops-prod-1001-05-02,000000-111111-222222,202604,2026-04-01T00:00:00+00:00,2026-04-02T00:00:00+00:00,finops-prod-1001,customer-platform-prod,Cloud Logging,Log Storage,log-sink-1001-05-02,us-central1,314.8721,GiBy,157.4361,144.8412,USD,1.0,[],regular,"{""application"":""shared-logging"",""cost_center"":""cc-shared"",""environment"":""production"",""team"":""platform""}",False,valid
gcp-2026-04-01-finops-data-2001-01-01,000000-111111-222222,202604,2026-04-01T00:00:00+00:00,2026-04-02T00:00:00+00:00,finops-data-2001,analytics-development,Compute Engine,N2 Instance Core running in Americas,instance-2001-01-01,us-central1,646.1003,vCPU-hours,20.4239,18.4139,USD,1.0,"[{""amount"":-1.8414,""name"":""Committed Usage Discount"",""type"":""COMMITTED_USAGE_DISCOUNT""}]",regular,"{""application"":""lakehouse"",""cost_center"":""cc-4001"",""environment"":""development"",""team"":""data""}",False,valid
